Date,Open,High,Low,Close,Adj Close,Volume,SP_open,SP_high,SP_low,SP_close,SP_Ajclose,SP_volume,DJ_open,DJ_high,DJ_low,DJ_close,DJ_Ajclose,DJ_volume,EG_open,EG_high,EG_low,EG_close,EG_Ajclose,EG_volume,EU_Price,EU_open,EU_high,EU_low,EU_Trend,OF_Price,OF_Open,OF_High,OF_Low,OF_Volume,OF_Trend,OS_Trend
3/15/2012,159.729996,161.979996,159.279999,161.080002,161.080002,12689300,140.119995,140.779999,139.759995,140.720001,122.211433,165118500,13192.96973,13253.50977,13170.19043,13252.75977,13252.75977,161650000,67,68.599998,67,67.300003,65.437553,784300,1.3083,1.303,1.31199999999999,1.3003,1,123.55,125.12,125.35,120.97,20330,0,0
3/16/2012,160.080002,161.539992999999,159.919998,161.300003,161.300003,12549200,140.360001,140.479996,140,140.300003,122.380676,152893500,13253.50977,13289.08008,13231.4502,13232.62012,13232.62012,392620000,67.150002,67.5,65.699997,66.75,64.902779,1745300,1.3175,1.3083,1.3189,1.3048,1,125.81,122.55,126.16,122.45,159880,1,1
3/19/2012,160.850006,162.300003,160.720001,161.589996,161.589996,9920800,140.210007,141.279999,140.110001,140.850006,122.860443,125291100,13231.94043,13269.70996,13208.62988,13239.12988,13239.12988,147120000,67.449997,67.650002,66,66.050003,64.222168,576800,1.3241,1.318,1.3266,1.3142,1,125.71,125.6,126.05,124.82,128750,0,1
3/20/2012,160.199997,161.080002,159.770004,160.130005,160.130005,11643700,140.050003,140.610001,139.639999,140.440002,122.5028,121729700,13238.4502,13238.4502,13123.37988,13170.19043,13170.19043,131660000,65.150002,66.449997,64.150002,65.599998,63.784607,906000,1.3225,1.3239,1.3253,1.3172,0,124.12,125.27,125.44,123.2,185590,0,0
3/21/2012,160.630005,161.479996,160.149994,160.210007,160.210007,6672700,140.520004,140.649994,139.919998,140.210007,122.302139,122388400,13170.79004,13190.01953,13112.92969,13124.62012,13124.62012,124860000,66.150002,66.5,65.300003,65.550003,63.735989,779300,1.3212,1.3224,1.3285,1.3178,0,124.2,124.21,124.8,123.76,152410,1,1
3/22/2012,158.199997,159.710007,158.130005,159.570007,159.570007,11107700,139.179993,139.550003,138.740005,139.199997,121.421143,135216700,13124.40039,13124.46973,13017.41992,13046.13965,13046.13965,122060000,64,65.150002,63.75,64.400002,62.617817,692500,1.3198,1.321,1.3256,1.3135,0,123.14,124.04,124.25,122.3,189190,0,0
3/23/2012,160.880005,161.880005,160.520004,161.529999,161.529999,10689000,139.320007,139.809998,138.550003,139.649994,121.813698,120521000,13045.99023,13099.91016,13002.76953,13080.73047,13080.73047,129930000,64.75,67.75,64.150002,67,65.145866,887900,1.3273,1.3198,1.3295,1.319,1,125.13,123.3,127.06,123.1,207430,1,1
3/26/2012,163.169998,164.539992999999,162.949997,164.399994,164.399994,13226700,140.649994,141.610001,140.600006,141.610001,123.523338,120164000,13082.62012,13243.86035,13082.38965,13241.62988,13241.62988,122080000,68.5,69.599998,67.949997,68.099998,66.215431,836100,1.3358,1.3272,1.3368,1.3191,1,125.65,125.04,125.89,124.58,128770,1,1
3/27/2012,164.520004,164.889999,163.130005,163.240005,163.240005,10908700,141.740005,141.830002,141.080002,141.169998,123.139542,119868500,13242.08984,13264.98047,13194.33008,13197.73047,13197.73047,129280000,68.699997,68.699997,67.349998,67.5,65.632027,855000,1.3318,1.3354,1.3386,1.3311,0,125.54,125.74,126.18,124.91,211600,0,0
3/28/2012,162.710007,162.979996,160.660004,161.509995,161.509995,11008200,141.100006,141.320007,139.639999,140.470001,122.528969,148562100,13195.38965,13212.63965,13069.25977,13126.20996,13126.20996,141540000,67,67.599998,65.349998,66.199997,64.368011,483600,1.3317,1.3318,1.3376,1.3277,0,124.16,125.18,125.18,123.53,212670,0,0
3/29/2012,161.139999,161.460007,159.809998,161.279999,161.279999,11026900,139.639999,140.490005,139.089996,140.229996,122.319626,164963700,13125.99023,13151.57031,13032.66992,13145.82031,13145.82031,136250000,65.800003,67.150002,64.650002,67,65.145866,689200,1.3302,1.3316,1.3346,1.3251,0,122.39,124.23,124.64,121.37,224420,0,0
3/30/2012,161.669998,162.330002,161.220001,162.119995,162.119995,7534000,140.919998,141.050003,140.050003,140.809998,122.825531,135486800,13147.94043,13224.49023,13147.78027,13212.04004,13212.04004,171190000,67.449997,68.900002,67.449997,68.699997,66.7988199999999,605400,1.3344,1.3299,1.3377,1.3296,1,122.88,122.6,124.07,122.58,185190,1,0
4/2/2012,161.960007,163.559998,161.809998,162.940002,162.940002,7541700,140.639999,142.210007,140.360001,141.839996,123.723953,151741100,13211.36035,13297.11035,13153.69043,13264.49023,13264.49023,108790000,68.650002,70.300003,68.25,70.25,68.305931,654500,1.3323,1.3359,1.3382,1.3277,0,125.43,122.94,125.63,121.7,229530,1,1
4/3/2012,163.229996,163.229996,159.169998,159.889999,159.889999,16822300,141.639999,141.880005,140.429993,141.259995,123.218033,155806700,13258.95996,13265.36035,13131.20996,13199.54981,13199.54981,123980000,70.349998,70.349998,68.150002,68.550003,66.652977,1338900,1.3234,1.332,1.3368,1.3213,0,124.86,125.3,125.97,124.3,197650,0,0
4/4/2012,157.699997,158.029999,156.580002,157.210007,157.210007,15975600,140.220001,140.339996,139.339996,139.860001,121.996834,146896000,13198.19043,13198.19043,13020.86035,13074.75,13074.75,125000000,66.5,66.849998,63.950001,65.099998,63.298443,1042500,1.3142,1.3232,1.3238,1.3106,0,122.34,124.88,124.99,122.3,250190,0,0
